rows,positive_rate_true,positive_rate_predicted,tp,tn,fp,fn,precision,recall,f1,specificity,fpr,fnr,pr_auc,roc_auc,brier_score,ece,model,threshold,group_feature,group_value
155,0.24516129032258063,0.44516129032258067,30,78,39,8,0.43478260869565216,0.7894736842105263,0.5607476635514018,0.6666666666666666,0.3333333333333333,0.21052631578947367,0.5052808689209675,0.7663067926225821,0.15585932645719464,0.05556471874511697,mlp_classifier,0.25,status,Resolved
492,0.14634146341463414,0.17682926829268292,26,359,61,46,0.2988505747126437,0.3611111111111111,0.3270440251572327,0.8547619047619047,0.14523809523809525,0.6388888888888888,0.29255868020596504,0.6810681216931217,0.11945216420472378,0.03624846594324937,mlp_classifier,0.25,has_description,0
1383,0.28705712219812,0.5430224150397687,305,540,446,92,0.40612516644474034,0.7682619647355163,0.5313588850174216,0.5476673427991886,0.45233265720081134,0.23173803526448364,0.47056954096400094,0.7124733677019839,0.18543891854558067,0.04605126714979607,mlp_classifier,0.25,has_description,1
46,0.2826086956521739,0.6739130434782609,12,14,19,1,0.3870967741935484,0.9230769230769231,0.5454545454545454,0.42424242424242425,0.5757575757575758,0.07692307692307693,0.3614360260280224,0.62004662004662,0.22075871464087843,0.1497455904157773,mlp_classifier,0.25,created_year,2008
86,0.32558139534883723,0.43023255813953487,20,41,17,8,0.5405405405405406,0.7142857142857143,0.6153846153846154,0.7068965517241379,0.29310344827586204,0.2857142857142857,0.5538221236051921,0.7770935960591133,0.1865759654968141,0.129642485336183,mlp_classifier,0.25,created_year,2009
381,0.16010498687664043,0.29658792650918636,33,240,80,28,0.2920353982300885,0.5409836065573771,0.3793103448275862,0.75,0.25,0.45901639344262296,0.3510543244578571,0.7068135245901639,0.12806425443040742,0.05277227284843094,mlp_classifier,0.25,created_year,2010
485,0.20618556701030927,0.4061855670103093,67,255,130,33,0.3401015228426396,0.67,0.4511784511784512,0.6623376623376623,0.33766233766233766,0.33,0.40747733784705475,0.7068181818181818,0.1515322693597019,0.0530070872655599,mlp_classifier,0.25,created_year,2011
305,0.3344262295081967,0.4491803278688525,73,139,64,29,0.5328467153284672,0.7156862745098039,0.6108786610878661,0.6847290640394089,0.31527093596059114,0.28431372549019607,0.5783989411263768,0.7458224669178015,0.1929517546739858,0.08868848188349653,mlp_classifier,0.25,created_year,2012
146,0.3219178082191781,0.636986301369863,41,47,52,6,0.44086021505376344,0.8723404255319149,0.5857142857142857,0.47474747474747475,0.5252525252525253,0.1276595744680851,0.5557057331212518,0.7747689662583279,0.18187061514328004,0.09537215994147427,mlp_classifier,0.25,created_year,2013
88,0.3409090909090909,0.7272727272727273,27,21,37,3,0.421875,0.9,0.574468085106383,0.3620689655172414,0.6379310344827587,0.1,0.6474542912306451,0.7557471264367817,0.19093775673677646,0.10591070901623349,mlp_classifier,0.25,created_year,2014
87,0.25287356321839083,0.6551724137931034,17,25,40,5,0.2982456140350877,0.7727272727272727,0.43037974683544306,0.38461538461538464,0.6153846153846154,0.22727272727272727,0.3397697555924083,0.6230769230769231,0.2264993951131925,0.16176604542107123,mlp_classifier,0.25,created_year,2015
59,0.23728813559322035,0.5932203389830508,9,19,26,5,0.2571428571428571,0.6428571428571429,0.3673469387755102,0.4222222222222222,0.5777777777777777,0.35714285714285715,0.40015332454979446,0.6190476190476191,0.19043754973106686,0.16711630007394604,mlp_classifier,0.25,created_year,2016
13,0.3076923076923077,0.6153846153846154,4,5,4,0,0.5,1.0,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.0,0.4154761904761905,0.638888888888889,0.19217428817054236,0.14288696558177566,mlp_classifier,0.25,created_year,2017
16,0.625,0.5,6,4,2,4,0.75,0.6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.8444444444444444,0.7,0.29241945697477667,0.3143117083010486,mlp_classifier,0.25,created_year,2018
17,0.47058823529411764,0.47058823529411764,4,5,4,4,0.5,0.5,0.5,0.5555555555555556,0.4444444444444444,0.5,0.6805021367521368,0.6666666666666667,0.2838419007961113,0.22832913225648482,mlp_classifier,0.25,created_year,2019
33,0.3333333333333333,0.48484848484848486,6,12,10,5,0.375,0.5454545454545454,0.4444444444444444,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.5032312513810401,0.6033057851239669,0.22295725365059108,0.11160625829529436,mlp_classifier,0.25,created_year,2020
89,0.10112359550561797,0.1348314606741573,2,70,10,7,0.16666666666666666,0.2222222222222222,0.19047619047619047,0.875,0.125,0.7777777777777778,0.193811457783089,0.7041666666666666,0.1031234030226356,0.07576616953675243,mlp_classifier,0.25,created_year,2021
165,0.2545454545454545,0.42424242424242425,30,83,40,12,0.42857142857142855,0.7142857142857143,0.5357142857142857,0.6747967479674797,0.3252032520325203,0.2857142857142857,0.44722449990254864,0.7276422764227641,0.1701749145221994,0.04173733165076081,mlp_classifier,0.25,created_month,1
123,0.2764227642276423,0.5284552845528455,26,50,39,8,0.4,0.7647058823529411,0.5252525252525253,0.5617977528089888,0.43820224719101125,0.23529411764705882,0.5123020285969284,0.7438863185723728,0.17451048115466677,0.13426931059891167,mlp_classifier,0.25,created_month,10
147,0.2925170068027211,0.4421768707482993,28,67,37,15,0.4307692307692308,0.6511627906976745,0.5185185185185185,0.6442307692307693,0.3557692307692308,0.3488372093023256,0.5578438246440525,0.7204830053667264,0.17860848443147176,0.06859135403509904,mlp_classifier,0.25,created_month,11
128,0.25,0.4453125,24,63,33,8,0.42105263157894735,0.75,0.5393258426966292,0.65625,0.34375,0.25,0.4955105177916762,0.7454427083333334,0.16235957206264415,0.0887197367784648,mlp_classifier,0.25,created_month,12
164,0.23170731707317074,0.38414634146341464,23,86,40,15,0.36507936507936506,0.6052631578947368,0.45544554455445546,0.6825396825396826,0.31746031746031744,0.39473684210526316,0.37721290248939365,0.7010233918128654,0.1720966577245105,0.07652179172337756,mlp_classifier,0.25,created_month,2
181,0.18232044198895028,0.3867403314917127,19,97,51,14,0.2714285714285714,0.5757575757575758,0.36893203883495146,0.6554054054054054,0.34459459459459457,0.42424242424242425,0.3633866328596792,0.7055692055692055,0.14661102321957772,0.09010866557437533,mlp_classifier,0.25,created_month,3
